timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,grpThreads,allThreads,Latency,Hostname
1448352559758,266,Register User,200,OK,text,false,212,212,266,ip-172-31-60-161
1448352559853,183,Register User,200,OK,text,false,212,212,165,ip-172-31-60-161
1448352559915,124,Register User,200,OK,text,false,212,212,102,ip-172-31-60-161
1448352559926,118,Register User,200,OK,text,false,212,212,92,ip-172-31-60-161
1448352559880,169,Register User,200,OK,text,false,213,213,149,ip-172-31-60-161
1448352559866,185,Register User,200,OK,text,false,214,214,167,ip-172-31-60-161
1448352559912,140,Register User,200,OK,text,false,214,214,140,ip-172-31-60-161
1448352559884,170,Register User,200,OK,text,false,214,214,146,ip-172-31-60-161
1448352559875,182,Register User,200,OK,text,false,214,214,182,ip-172-31-60-161
1448352559900,158,Register User,200,OK,text,false,214,214,158,ip-172-31-60-161
1448352559910,149,Register User,200,OK,text,false,214,214,149,ip-172-31-60-161
1448352559914,145,Register User,200,OK,text,false,214,214,145,ip-172-31-60-161
1448352559924,136,Register User,200,OK,text,false,215,215,136,ip-172-31-60-161
1448352559756,306,Register User,200,OK,text,false,215,215,306,ip-172-31-60-161
1448352559758,304,Register User,200,OK,text,false,215,215,304,ip-172-31-60-161
1448352559859,203,Register User,200,OK,text,false,215,215,203,ip-172-31-60-161
1448352559778,285,Register User,200,OK,text,false,215,215,285,ip-172-31-60-161
1448352559867,199,Register User,200,OK,text,false,215,215,156,ip-172-31-60-161
1448352559896,175,Register User,200,OK,text,false,215,215,175,ip-172-31-60-161
1448352559892,181,Register User,200,OK,text,false,215,215,145,ip-172-31-60-161
1448352559992,82,Register User,200,OK,text,false,215,215,48,ip-172-31-60-161
1448352559992,86,Register User,200,OK,text,false,215,215,86,ip-172-31-60-161
1448352559901,177,Register User,200,OK,text,false,215,215,129,ip-172-31-60-161
1448352560053,32,User Login,200,OK,text,false,215,215,32,ip-172-31-60-161
1448352560061,26,User Login,200,OK,text,false,215,215,26,ip-172-31-60-161
1448352560012,79,Register User,200,OK,text,false,215,215,65,ip-172-31-60-161
1448352560032,60,Register User,200,OK,text,false,216,216,60,ip-172-31-60-161
1448352560056,46,User Login,200,OK,text,false,216,216,46,ip-172-31-60-161
1448352560079,25,User Login,200,OK,text,false,216,216,25,ip-172-31-60-161
1448352560075,30,User Login,200,OK,text,false,216,216,30,ip-172-31-60-161
1448352560042,64,User Login,200,OK,text,true,216,216,64,ip-172-31-60-161
1448352560068,40,User Login,200,OK,text,false,216,216,40,ip-172-31-60-161
1448352560060,49,User Login,200,OK,text,false,216,216,49,ip-172-31-60-161
